Timestamp: b'1739185325, Yaw: 320.1875, Pitch: -4.125\n'
Timestamp: b'1739185326, Yaw: 324.75, Pitch: -4.25\n'
Timestamp: b'1739185327, Yaw: 301.25, Pitch: -4.125\n'
Timestamp: b'1739185327, Yaw: 273.625, Pitch: -3.4375\n'
Timestamp: b'1739185328, Yaw: 278.5, Pitch: -3.875\n'
Timestamp: b'1739185328, Yaw: 305.9375, Pitch: -4.375\n'
Timestamp: b'1739185329, Yaw: 326.9375, Pitch: -4.0625\n'
Timestamp: b'1739185329, Yaw: 326.875, Pitch: -4.375\n'
Timestamp: b'1739185330, Yaw: 326.6875, Pitch: -4.5625\n'
Timestamp: b'1739185330, Yaw: 326.375, Pitch: -4.625\n'
Timestamp: b'1739185331, Yaw: 326.3125, Pitch: -4.625\n'
Timestamp: b'1739185331, Yaw: 326.3125, Pitch: -4.625\n'
Timestamp: b'1739185332, Yaw: 326.3125, Pitch: -4.625\n'
Timestamp: b'1739185332, Yaw: 326.3125, Pitch: -4.625\n'
Timestamp: b'1739185333, Yaw: 326.3125, Pitch: -4.625\n'
Timestamp: b'1739185333, Yaw: 326.3125, Pitch: -4.625\n'
Timestamp: b'1739185334, Yaw: 326.3125, Pitch: -4.625\n'
