Timestamp: 1739894621, x: -0.3125, y: -55.625
Timestamp: 1739894621, x: -0.4375, y: -58.125
Timestamp: 1739894621, x: -0.0625, y: -56.875
Timestamp: 1739894621, x: 0.0625, y: -60.8125
Timestamp: 1739894621, x: -0.0625, y: -56.5
Timestamp: 1739894621, x: -0.1875, y: -57.125
Timestamp: 1739894621, x: 0.125, y: -56.5625
Timestamp: 1739894622, x: 0.0, y: -57.625
Timestamp: 1739894622, x: -0.1875, y: -57.4375
Timestamp: 1739894622, x: -0.125, y: -56.6875
Timestamp: 1739894622, x: -0.1875, y: -55.6875
Timestamp: 1739894622, x: -0.8125, y: -58.4375
Timestamp: 1739894622, x: 0.5, y: -57.25
Timestamp: 1739894622, x: 0.3125, y: -54.8125
Timestamp: 1739894622, x: -0.0625, y: -55.4375
Timestamp: 1739894622, x: -0.5625, y: -58.0
Timestamp: 1739894623, x: -0.8125, y: -56.125
Timestamp: 1739894623, x: 0.25, y: -55.375
Timestamp: 1739894623, x: -0.5625, y: -56.75
Timestamp: 1739894623, x: -0.5, y: -58.8125
Timestamp: 1739894623, x: -0.4375, y: -57.25
Timestamp: 1739894623, x: 0.0, y: -55.8125
Timestamp: 1739894623, x: 0.0625, y: -55.0625
Timestamp: 1739894623, x: -0.3125, y: -57.75
Timestamp: 1739894623, x: 0.375, y: -55.125
Timestamp: 1739894624, x: -0.25, y: -58.0
Timestamp: 1739894624, x: 0.0625, y: -55.4375
Timestamp: 1739894624, x: -0.1875, y: -56.75
Timestamp: 1739894624, x: -0.0625, y: -57.3125
Timestamp: 1739894624, x: 0.125, y: -55.1875
Timestamp: 1739894624, x: 0.0625, y: -56.75
Timestamp: 1739894624, x: 0.0625, y: -30.3125
Timestamp: 1739894624, x: -0.125, y: -3.0
Timestamp: 1739894624, x: -0.125, y: 0.0
Timestamp: 1739894625, x: 0.0625, y: 0.125
Timestamp: 1739894625, x: 0.0, y: 0.1875
Timestamp: 1739894625, x: 0.0, y: 0.0
Timestamp: 1739894625, x: 0.0, y: -0.125
Timestamp: 1739894625, x: 0.0625, y: 0.0625
Timestamp: 1739894625, x: 0.0, y: 11.125
Timestamp: 1739894625, x: 1.0625, y: 54.5625
Timestamp: 1739894625, x: 0.8125, y: 59.1875
Timestamp: 1739894625, x: 0.3125, y: 60.4375
Timestamp: 1739894625, x: 0.4375, y: 56.8125
Timestamp: 1739894626, x: 0.125, y: 57.75
Timestamp: 1739894626, x: 0.0, y: 59.6875
Timestamp: 1739894626, x: -0.375, y: 57.875
Timestamp: 1739894626, x: 0.4375, y: 58.0625
Timestamp: 1739894626, x: 0.8125, y: 59.125
Timestamp: 1739894626, x: 0.1875, y: 37.4375
Timestamp: 1739894626, x: 0.1875, y: 19.1875
Timestamp: 1739894626, x: 0.1875, y: 2.375
Timestamp: 1739894626, x: 0.0625, y: -0.0625
Timestamp: 1739894627, x: 0.6875, y: 59.4375
Timestamp: 1739894627, x: -0.3125, y: 56.125
Timestamp: 1739894627, x: -0.5625, y: 58.125
Timestamp: 1739894627, x: 0.9375, y: 57.9375
Timestamp: 1739894627, x: 0.5, y: 59.5
Timestamp: 1739894627, x: 0.0, y: 58.0
Timestamp: 1739894627, x: -1.375, y: 58.125
Timestamp: 1739894627, x: 0.375, y: 56.375
Timestamp: 1739894627, x: 1.125, y: 59.5
Timestamp: 1739894628, x: 0.3125, y: 50.1875
Timestamp: 1739894628, x: 0.3125, y: 23.4375
Timestamp: 1739894628, x: -0.5, y: 3.75
Timestamp: 1739894628, x: -0.125, y: 0.0
Timestamp: 1739894628, x: -0.0625, y: 0.0625
Timestamp: 1739894628, x: -0.125, y: 0.0625
Timestamp: 1739894628, x: 0.125, y: -0.0625
Timestamp: 1739894628, x: 0.0, y: 0.0625
Timestamp: 1739894628, x: 0.0, y: -0.0625
Timestamp: 1739894629, x: 0.0625, y: 0.0
Timestamp: 1739894629, x: 0.0625, y: -0.0625
Timestamp: 1739894629, x: 0.0625, y: -0.1875
Timestamp: 1739894629, x: 0.0625, y: -0.125
Timestamp: 1739894629, x: 0.0625, y: 0.0
Timestamp: 1739894629, x: 0.0, y: -0.0625
Timestamp: 1739894629, x: 0.0625, y: -0.125
Timestamp: 1739894629, x: -0.1875, y: 0.125
Timestamp: 1739894629, x: 0.0625, y: -0.125
Timestamp: 1739894630, x: 0.0625, y: -0.1875
Timestamp: 1739894630, x: -0.125, y: 0.0
Timestamp: 1739894630, x: 0.0, y: 0.125
Timestamp: 1739894630, x: 0.125, y: -0.0625
Timestamp: 1739894630, x: 0.0625, y: 0.1875
Timestamp: 1739894630, x: 0.0, y: -0.125
Timestamp: 1739894630, x: -0.0625, y: 0.0625
Timestamp: 1739894630, x: 0.0625, y: 0.0
Timestamp: 1739894630, x: 0.0, y: 0.0625
Timestamp: 1739894631, x: 0.0, y: -0.0625
Timestamp: 1739894631, x: 0.0625, y: 0.0625
